Date,Instrument,Total Debt,Total Assets,Leverage
2022-03-31,NESN.S,46574000000,139142000000,0.334722801167153
2022-06-30,NESN.S,46574000000,139142000000,0.334722801167153
2022-09-30,NESN.S,46574000000,139142000000,0.334722801167153
2022-12-31,NESN.S,46574000000,139142000000,0.334722801167153
2023-03-31,NESN.S,54312000000,135182000000,0.4017694663490701
2023-06-30,NESN.S,54312000000,135182000000,0.4017694663490701
2023-09-30,NESN.S,54312000000,135182000000,0.4017694663490701
2023-12-31,NESN.S,54312000000,135182000000,0.4017694663490701
2024-03-31,NESN.S,55241000000,126550000000,0.43651521137890165
2024-06-30,NESN.S,55241000000,126550000000,0.43651521137890165
2024-09-30,NESN.S,55241000000,126550000000,0.43651521137890165
2024-12-31,NESN.S,55241000000,126550000000,0.43651521137890165
